Date,Type,Ticker,Shares,Price,Amount
2023-03-29,SELL,012330.KS,9,205954.234375,1853588.109375
2023-03-29,SELL,000270.KS,29,71020.4375,2059592.6875
2023-03-29,SELL,086790.KS,52,34236.60546875,1780303.484375
2023-03-29,SELL,015760.KS,112,18475.0625,2069207.0
2023-03-29,SELL,207940.KS,1,1216190.875,1216190.875
2023-03-29,BUY,030200.KS,89,25352.294921875,2256354.248046875
2023-03-29,BUY,015760.KS,123,18475.0625,2272432.6875
2023-03-29,BUY,017670.KS,55,41301.53515625,2271584.43359375
2023-03-29,BUY,000270.KS,32,71020.4375,2272654.0
2023-03-29,BUY,373220.KS,3,583000.0,1749000.0
2023-03-29,BUY,034020.KS,136,16650.0,2264400.0
2023-03-29,BUY,207940.KS,1,1216190.875,1216190.875
2023-04-27,SELL,030200.KS,89,25960.056640625,2310445.041015625
2023-04-27,SELL,015760.KS,123,18554.228515625,2282170.107421875
2023-04-27,SELL,017670.KS,55,40725.265625,2239889.609375
2023-04-27,SELL,000270.KS,32,77363.140625,2475620.5
2023-04-27,SELL,373220.KS,3,587000.0,1761000.0
2023-04-27,SELL,034020.KS,136,16930.0,2302480.0
2023-04-27,SELL,207940.KS,1,1196203.0,1196203.0
2023-04-27,BUY,005380.KS,11,175933.0625,1935263.6875
2023-04-27,BUY,000270.KS,26,77363.140625,2011441.65625
2023-04-27,BUY,009830.KS,40,49845.625,1993825.0
2023-04-27,BUY,086790.KS,56,35783.04296875,2003850.40625
2023-04-27,BUY,373220.KS,3,587000.0,1761000.0
2023-04-27,BUY,005930.KS,33,61278.671875,2022196.171875
2023-04-27,BUY,051910.KS,2,732977.5625,1465955.125
2023-04-27,BUY,028260.KS,19,102653.8046875,1950422.2890625
2023-05-31,SELL,005380.KS,11,174191.109375,1916102.203125
2023-05-31,SELL,000270.KS,26,76737.8046875,1995182.921875
2023-05-31,SELL,009830.KS,40,43566.2421875,1742649.6875
2023-05-31,SELL,086790.KS,56,35611.22265625,1994228.46875
2023-05-31,SELL,373220.KS,3,599000.0,1797000.0
2023-05-31,SELL,005930.KS,33,67729.0625,2235059.0625
2023-05-31,SELL,051910.KS,2,685497.25,1370994.5
2023-05-31,SELL,028260.KS,19,106008.4921875,2014161.3515625
2023-05-31,BUY,030200.KS,73,27392.634765625,1999662.337890625
2023-05-31,BUY,055550.KS,64,31306.95703125,2003645.25
2023-05-31,BUY,003550.KS,25,78269.609375,1956740.234375
2023-05-31,BUY,066570.KS,16,119751.2578125,1916020.125
2023-05-31,BUY,373220.KS,3,599000.0,1797000.0
2023-05-31,BUY,000660.KS,18,106203.0546875,1911654.984375
2023-05-31,BUY,051910.KS,2,685497.25,1370994.5
2023-05-31,BUY,015760.KS,106,18880.78125,2001362.8125
2023-06-30,SELL,030200.KS,73,25873.23046875,1888745.82421875
2023-06-30,SELL,055550.KS,64,30835.611328125,1973479.125
2023-06-30,SELL,003550.KS,25,80089.828125,2002245.703125
2023-06-30,SELL,066570.KS,16,123554.4375,1976871.0
